areaName,areaCode,year,month,Quarter,day,WorkingDay,FirstDose,SecondDose,ThirdDose,Booster
England,E92000001,2022,5,Q2,Mon,Yes,3034,3857,8747,1
England,E92000001,2022,5,Q2,Sun,No,5331,3330,4767,0
England,E92000001,2022,5,Q2,Sat,No,13852,9759,12335,0
England,E92000001,2022,5,Q2,Fri,Yes,5818,5529,10692,0
England,E92000001,2022,5,Q2,Thu,Yes,8439,6968,11701,0
England,E92000001,2022,5,Q2,Wed,Yes,4955,5247,11219,1
England,E92000001,2022,5,Q2,Tue,Yes,4821,5309,11361,1
England,E92000001,2022,5,Q2,Mon,Yes,4337,4893,10343,1
England,E92000001,2022,5,Q2,Sun,No,8513,4546,6080,0
England,E92000001,2022,5,Q2,Sat,No,17404,11423,13473,0
England,E92000001,2022,5,Q2,Fri,Yes,6776,6330,11078,0
England,E92000001,2022,5,Q2,Thu,Yes,6829,6541,11794,0
England,E92000001,2022,5,Q2,Wed,Yes,5973,7033,12355,1
England,E92000001,2022,5,Q2,Tue,Yes,6160,7064,12026,1
England,E92000001,2022,5,Q2,Mon,Yes,5101,6624,10965,1
England,E92000001,2022,5,Q2,Sun,No,9085,5912,6736,0
England,E92000001,2022,5,Q2,Sat,No,20794,13514,15447,0
England,E92000001,2022,5,Q2,Fri,Yes,8687,8371,13313,0
England,E92000001,2022,5,Q2,Thu,Yes,7539,6703,12546,0
England,E92000001,2022,5,Q2,Wed,Yes,8465,7615,14976,0
England,E92000001,2022,5,Q2,Tue,Yes,6351,5419,10917,0
England,E92000001,2022,5,Q2,Mon,Yes,5043,2246,3193,0
England,E92000001,2022,5,Q2,Sun,No,10284,5140,5937,0
England,E92000001,2022,4,Q2,Sat,No,24522,13377,15783,0
England,E92000001,2022,4,Q2,Fri,Yes,10572,8313,13618,0
England,E92000001,2022,4,Q2,Thu,Yes,9042,7014,13136,0
England,E92000001,2022,4,Q2,Wed,Yes,8815,7239,14016,0
England,E92000001,2022,4,Q2,Tue,Yes,8338,7386,12490,0
England,E92000001,2022,4,Q2,Mon,Yes,7897,6803,11920,0
England,E92000001,2022,4,Q2,Sun,No,12367,6926,8057,0
England,E92000001,2022,4,Q2,Sat,No,27649,15265,17742,0
England,E92000001,2022,4,Q2,Fri,Yes,14007,8940,12866,0
England,E92000001,2022,4,Q2,Thu,Yes,15770,9201,13812,0
England,E92000001,2022,4,Q2,Wed,Yes,13295,9559,14825,0
England,E92000001,2022,4,Q2,Tue,Yes,13633,9679,14006,0
England,E92000001,2022,4,Q2,Mon,Yes,5737,3181,3957,0
England,E92000001,2022,4,Q2,Sun,No,3810,2126,2287,0
England,E92000001,2022,4,Q2,Sat,No,15987,10134,10344,0
England,E92000001,2022,4,Q2,Fri,Yes,10649,4577,4498,0
England,E92000001,2022,4,Q2,Thu,Yes,20906,11444,15788,0
England,E92000001,2022,4,Q2,Wed,Yes,17590,11180,15148,0
England,E92000001,2022,4,Q2,Tue,Yes,15754,10085,14674,0
England,E92000001,2022,4,Q2,Mon,Yes,14014,10497,14275,0
England,E92000001,2022,4,Q2,Sun,No,11149,7601,8534,0
England,E92000001,2022,4,Q2,Sat,No,20153,14261,16426,0
England,E92000001,2022,4,Q2,Fri,Yes,9726,10350,14373,1
England,E92000001,2022,4,Q2,Thu,Yes,8963,9272,13339,1
England,E92000001,2022,4,Q2,Wed,Yes,8785,8949,13256,1
England,E92000001,2022,4,Q2,Tue,Yes,8922,8863,12421,0
England,E92000001,2022,4,Q2,Mon,Yes,8576,9319,12831,1
England,E92000001,2022,4,Q2,Sun,No,3363,7593,7592,0
England,E92000001,2022,4,Q2,Sat,No,5917,15162,15107,0
England,E92000001,2022,4,Q2,Fri,Yes,3796,10104,12742,1
England,E92000001,2022,3,Q1,Thu,Yes,3530,10881,13692,1
England,E92000001,2022,3,Q1,Wed,Yes,3503,11249,14052,1
England,E92000001,2022,3,Q1,Tue,Yes,3559,10148,12642,1
England,E92000001,2022,3,Q1,Mon,Yes,2994,9500,11974,1
England,E92000001,2022,3,Q1,Sun,No,2363,6781,6366,0
England,E92000001,2022,3,Q1,Sat,No,5791,17315,16037,0
England,E92000001,2022,3,Q1,Fri,Yes,3654,11943,14656,1
England,E92000001,2022,3,Q1,Thu,Yes,3462,10559,13816,1
England,E92000001,2022,3,Q1,Wed,Yes,3959,11415,15188,1
England,E92000001,2022,3,Q1,Tue,Yes,3080,10609,14986,1
England,E92000001,2022,3,Q1,Mon,Yes,2925,10889,14144,1
England,E92000001,2022,3,Q1,Sun,No,2792,8661,9351,1
England,E92000001,2022,3,Q1,Sat,No,6006,18001,18959,1
England,E92000001,2022,3,Q1,Fri,Yes,3517,13116,16287,1
England,E92000001,2022,3,Q1,Thu,Yes,3358,12310,14950,1
England,E92000001,2022,3,Q1,Wed,Yes,3653,13339,16338,1
England,E92000001,2022,3,Q1,Tue,Yes,3820,13159,16133,1
England,E92000001,2022,3,Q1,Mon,Yes,3030,11844,15098,1
England,E92000001,2022,3,Q1,Sun,No,3396,9607,10403,1
England,E92000001,2022,3,Q1,Sat,No,7487,18831,20526,1
England,E92000001,2022,3,Q1,Fri,Yes,4084,13651,17945,1
England,E92000001,2022,3,Q1,Thu,Yes,4116,12646,16212,1
England,E92000001,2022,3,Q1,Wed,Yes,4552,13333,16263,1
England,E92000001,2022,3,Q1,Tue,Yes,3914,12529,14898,1
England,E92000001,2022,3,Q1,Mon,Yes,3966,11688,14466,1
England,E92000001,2022,3,Q1,Sun,No,3378,8405,10301,1
England,E92000001,2022,3,Q1,Sat,No,7383,17009,21300,1
England,E92000001,2022,3,Q1,Fri,Yes,5755,14965,18663,1
England,E92000001,2022,3,Q1,Thu,Yes,5760,16370,25684,1
England,E92000001,2022,3,Q1,Wed,Yes,6756,12978,17386,1
England,E92000001,2022,3,Q1,Tue,Yes,5166,13312,16080,1
England,E92000001,2022,2,Q1,Mon,Yes,5095,12964,17065,1
England,E92000001,2022,2,Q1,Sun,No,3879,9107,11934,1
England,E92000001,2022,2,Q1,Sat,No,8259,17701,23235,1
England,E92000001,2022,2,Q1,Fri,Yes,7068,14498,20930,1
England,E92000001,2022,2,Q1,Thu,Yes,7066,14301,19624,1
England,E92000001,2022,2,Q1,Wed,Yes,8063,16271,21184,1
England,E92000001,2022,2,Q1,Tue,Yes,7503,16106,21337,1
England,E92000001,2022,2,Q1,Mon,Yes,6376,14421,19416,1
England,E92000001,2022,2,Q1,Sun,No,4371,8651,10892,1
England,E92000001,2022,2,Q1,Sat,No,9637,18189,23946,1
England,E92000001,2022,2,Q1,Fri,Yes,5160,12686,17395,1
England,E92000001,2022,2,Q1,Thu,Yes,8110,19082,24539,1
England,E92000001,2022,2,Q1,Wed,Yes,9896,19863,25260,1
England,E92000001,2022,2,Q1,Tue,Yes,8127,17370,24267,1
England,E92000001,2022,2,Q1,Mon,Yes,7095,16416,21853,1
England,E92000001,2022,2,Q1,Sun,No,5847,11047,14378,1
England,E92000001,2022,2,Q1,Sat,No,13647,23768,33560,1
England,E92000001,2022,2,Q1,Fri,Yes,9858,23641,31678,1
England,E92000001,2022,2,Q1,Thu,Yes,9989,23910,24703,1
England,E92000001,2022,2,Q1,Wed,Yes,10207,23277,23711,1
England,E92000001,2022,2,Q1,Tue,Yes,9731,23156,23517,1
England,E92000001,2022,2,Q1,Mon,Yes,8920,21249,23853,1
England,E92000001,2022,2,Q1,Sun,No,6030,14047,14954,1
England,E92000001,2022,2,Q1,Sat,No,11946,25454,31901,1
England,E92000001,2022,2,Q1,Fri,Yes,13583,26493,30007,1
England,E92000001,2022,2,Q1,Thu,Yes,11780,24026,29975,1
England,E92000001,2022,2,Q1,Wed,Yes,11084,25034,29805,1
England,E92000001,2022,2,Q1,Tue,Yes,11152,24192,29596,1
England,E92000001,2022,1,Q1,Mon,Yes,10282,20875,31547,1
England,E92000001,2022,1,Q1,Sun,No,10058,22711,26722,1
England,E92000001,2022,1,Q1,Sat,No,16477,34382,46367,1
England,E92000001,2022,1,Q1,Fri,Yes,15185,30250,44732,1
England,E92000001,2022,1,Q1,Thu,Yes,13989,26326,42450,1
England,E92000001,2022,1,Q1,Wed,Yes,13789,27307,43835,1
England,E92000001,2022,1,Q1,Tue,Yes,12356,24300,43353,1
England,E92000001,2022,1,Q1,Mon,Yes,14931,24288,45199,1
England,E92000001,2022,1,Q1,Sun,No,10514,24326,31966,1
England,E92000001,2022,1,Q1,Sat,No,18308,38632,60732,1
England,E92000001,2022,1,Q1,Fri,Yes,16025,29798,56634,1
England,E92000001,2022,1,Q1,Thu,Yes,15285,27069,49087,1
England,E92000001,2022,1,Q1,Wed,Yes,15408,25720,50791,1
